tray,fish.id,tray.position,sample.mass.mg,c.content.mg,c.content.perc,d13C,n.content.mg,n.content.perc,d15N,c.n,duplicate,
250619_BOEM_PIN_2,PIN051,C6,0.74,0.33,44.55,-19.81,0.10,13.65,11.62,3.26,,
250619_BOEM_PIN_2,PIN052,C9,0.83,0.37,44.86,-19.64,0.12,13.96,11.55,3.21,,
250619_BOEM_PIN_2,PIN053,C10,0.82,0.36,44.16,-21.99,0.11,13.97,10.81,3.16,,
250619_BOEM_PIN_2,PIN054,C11,0.82,0.36,44.15,-18.26,0.11,13.95,11.07,3.17,,
250619_BOEM_PIN_2,PIN055,C12,0.83,0.36,43.87,-18.21,0.11,13.84,10.52,3.17,,
250619_BOEM_PIN_2,PIN056,D1,0.95,0.42,44.07,-18.03,0.13,14.13,10.85,3.12,,
250619_BOEM_PIN_2,PIN057,D5,0.85,0.38,45.01,-18.40,0.12,14.29,11.00,3.15,,
250619_BOEM_PIN_2,PIN058,D6,0.85,0.37,43.69,-16.90,0.12,14.04,9.83,3.11,,
250619_BOEM_PIN_2,PIN059,D7,0.75,0.33,44.08,-19.90,0.10,13.99,11.77,3.15,,
250619_BOEM_PIN_2,PIN060,D8,0.86,0.37,43.72,-16.96,0.12,13.90,10.49,3.14,,
250619_BOEM_PIN_2,PIN061,D9,0.94,0.40,43.04,-18.64,0.13,13.90,12.66,3.10,Y,
250620_BOEM_CRO_6,CRO140,A9,0.75,0.35,46.54,-21.84,0.11,14.44,13.15,3.22,Y,
250620_BOEM_CRO_6,CRO141,A11,0.77,0.35,45.25,-17.73,0.11,14.10,15.09,3.21,,
250620_BOEM_CRO_6,CRO142,A12,0.66,0.31,46.61,-21.21,0.09,14.42,12.82,3.23,,
250620_BOEM_CRO_6,CRO143,B1,0.75,0.34,46.07,-17.98,0.10,13.90,14.67,3.31,,
250620_BOEM_CRO_6,CRO144,B2,0.63,0.29,46.32,-19.76,0.09,14.32,15.54,3.24,,
250620_BOEM_CRO_6,CRO145,B5,0.66,0.30,46.05,-19.69,0.09,14.40,12.61,3.20,,
250620_BOEM_CRO_6,CRO146,B6,0.67,0.31,46.81,-22.62,0.10,14.57,13.77,3.21,,
250620_BOEM_CRO_6,CRO147,B7,0.62,0.28,45.06,-23.37,0.09,13.89,10.41,3.25,,
250620_BOEM_CRO_6,CRO148,B8,0.75,0.34,45.90,-18.99,0.11,14.41,15.49,3.19,,
250620_BOEM_CRO_6,CRO149,B9,0.68,0.31,45.96,-19.63,0.10,14.41,13.06,3.19,,
250620_BOEM_CRO_6,CRO150,C1,0.67,0.30,45.67,-21.66,0.09,14.13,12.75,3.23,,
250620_BOEM_CRO_6,CRO151,C2,0.70,0.33,46.48,-21.53,0.10,14.36,15.69,3.24,,
250620_BOEM_CRO_6,CRO152,C3,0.73,0.34,45.91,-19.37,0.10,14.14,15.30,3.25,,
250620_BOEM_CRO_6,CRO153,C4,0.64,0.29,46.26,-20.51,0.09,14.46,15.87,3.20,,
250620_BOEM_CRO_6,CRO154,C5,0.72,0.34,47.25,-20.54,0.11,14.69,16.27,3.22,,
250620_BOEM_CRO_6,CRO155,C6,0.70,0.33,46.71,-17.97,0.10,14.44,14.23,3.24,,
250620_BOEM_CRO_6,CRO156,C9,0.75,0.34,45.92,-17.83,0.11,14.40,14.67,3.19,,
250620_BOEM_CRO_6,CRO157,C10,0.65,0.30,46.63,-20.62,0.09,14.45,15.55,3.23,,
250620_BOEM_CRO_6,CRO158,C11,0.76,0.35,46.53,-20.16,0.11,14.63,12.93,3.18,,
250620_BOEM_CRO_6,CRO159,C12,0.65,0.29,45.21,-19.80,0.09,14.17,11.58,3.19,,
250620_BOEM_CRO_6,CRO160,D1,0.77,0.36,47.09,-19.90,0.11,14.75,12.83,3.19,,
250620_BOEM_CRO_6,CRO161,D5,0.64,0.30,46.83,-21.14,0.09,14.66,12.49,3.19,,
250620_BOEM_CRO_6,CRO162,D6,0.76,0.35,46.85,-17.45,0.11,14.59,11.87,3.21,,
250620_BOEM_CRO_6,CRO163,D7,0.76,0.36,47.07,-19.08,0.11,14.26,13.55,3.30,,
250620_BOEM_CRO_6,CRO164,D8,0.75,0.35,46.68,-18.62,0.11,14.55,11.53,3.21,,
250620_BOEM_CRO_6,CRO165,D9,0.73,0.34,46.40,-18.41,0.10,14.20,11.94,3.27,Y,
250622_BOEM_PIN_3,PIN062,A9,0.67,0.29,43.93,-17.25,0.09,13.94,10.08,3.15,Y,
250622_BOEM_PIN_3,PIN063,A11,0.77,0.34,43.83,-17.35,0.11,14.06,11.26,3.12,,
250622_BOEM_PIN_3,PIN064,A12,0.72,0.32,44.64,-18.51,0.10,13.95,10.97,3.20,,
250622_BOEM_PIN_3,PIN065,B1,0.77,0.34,44.38,-17.87,0.11,13.95,10.33,3.18,,
250622_BOEM_PIN_3,PIN066,B2,0.75,0.33,44.60,-18.47,0.10,13.97,10.78,3.19,,
250622_BOEM_PIN_3,PIN067,B5,0.72,0.32,44.63,-18.25,0.10,14.13,11.09,3.16,,
250622_BOEM_PIN_3,PIN068,B6,0.67,0.30,44.68,-18.99,0.09,14.13,11.17,3.16,,
250622_BOEM_PIN_3,PIN069,B7,0.68,0.30,44.49,-18.89,0.09,13.90,11.20,3.20,,
250622_BOEM_PIN_3,PIN070,B8,0.79,0.35,44.04,-19.52,0.11,13.83,11.04,3.18,,
250622_BOEM_PIN_3,PIN071,B9,0.77,0.34,44.10,-21.64,0.11,13.87,11.23,3.18,,
250622_BOEM_PIN_3,PIN072,C1,0.76,0.33,43.63,-19.39,0.10,13.74,11.54,3.18,,
250622_BOEM_PIN_3,PIN073,C2,0.72,0.32,44.25,-21.40,0.10,13.93,10.70,3.18,,
250622_BOEM_PIN_3,PIN074,C3,0.73,0.32,44.64,-21.52,0.10,13.95,10.86,3.20,,
250622_BOEM_PIN_3,PIN075,C4,0.71,0.31,44.08,-19.29,0.10,13.90,11.39,3.17,,
250622_BOEM_PIN_3,PIN076,C5,0.71,0.31,44.05,-19.11,0.10,13.83,11.86,3.19,,
250622_BOEM_PIN_3,PIN077,C6,0.71,0.31,43.99,-23.26,0.10,13.75,12.61,3.20,,
250622_BOEM_PIN_3,PIN078,C9,0.66,0.30,44.98,-18.71,0.09,13.71,10.56,3.28,,
250622_BOEM_PIN_3,PIN079,C10,0.65,0.29,44.28,-17.96,0.09,13.95,13.49,3.17,,
250622_BOEM_PIN_3,PIN080,C11,0.71,0.31,43.51,-25.62,0.10,13.80,12.78,3.15,,
250622_BOEM_PIN_3,PIN081,C12,0.62,0.27,42.75,-17.78,0.09,13.72,11.33,3.12,,
250622_BOEM_PIN_3,PIN082,D1,0.75,0.33,43.39,-17.61,0.10,13.91,11.69,3.12,,
250622_BOEM_PIN_3,PIN083,D5,0.72,0.31,43.69,-17.61,0.10,13.98,10.27,3.13,,
250622_BOEM_PIN_3,PIN084,D6,0.70,0.31,43.51,-17.01,0.10,13.99,10.22,3.11,,
250622_BOEM_PIN_3,PIN085,D7,0.68,0.30,43.73,-17.49,0.09,13.92,11.93,3.14,,
250622_BOEM_PIN_3,PIN086,D8,0.66,0.28,43.01,-17.93,0.09,13.82,10.87,3.11,,
250622_BOEM_PIN_3,PIN087,D9,0.69,0.30,43.97,-17.57,0.10,13.98,10.64,3.14,Y,
250714_BOEM_PIN_4,PIN088,A9,0.69,0.30,44.13,-17.54,0.10,13.92,11.07,3.17,Y,
250714_BOEM_PIN_4,PIN089,A11,0.74,0.33,43.94,-17.85,0.10,13.85,10.48,3.17,,
250714_BOEM_PIN_4,PIN090,A12,0.68,0.25,36.52,-17.72,0.08,11.73,11.04,3.11,,
250714_BOEM_PIN_4,PIN091,B1,0.77,0.34,43.90,-20.44,0.11,13.76,10.95,3.19,,
250714_BOEM_PIN_4,PIN092,B2,0.73,0.33,44.98,-20.54,0.10,14.19,11.38,3.17,,
250714_BOEM_PIN_4,PIN093,B5,0.72,0.31,42.44,-18.70,0.09,13.07,11.26,3.25,,
250714_BOEM_PIN_4,PIN094,B6,0.78,0.35,44.72,-19.89,0.11,13.93,10.90,3.21,,
250714_BOEM_PIN_4,PIN095,B7,0.76,0.33,43.20,-16.24,0.10,13.28,9.68,3.25,,
250714_BOEM_PIN_4,PIN096,B8,0.79,0.35,44.00,-18.27,0.11,13.64,10.71,3.23,,
250714_BOEM_PIN_4,PIN097,B9,0.69,0.30,42.57,-19.54,0.09,13.16,11.12,3.24,,
250714_BOEM_PIN_4,PIN098,C1,0.76,0.33,43.72,-19.63,0.10,13.64,11.33,3.21,,
250714_BOEM_PIN_4,PIN099,C2,0.73,0.32,44.06,-17.73,0.10,13.74,10.35,3.21,,
250714_BOEM_PIN_4,PIN100,C3,0.75,0.33,43.77,-16.52,0.10,13.69,10.13,3.20,,
250714_BOEM_PIN_4,PIN101,C4,0.77,0.33,43.41,-18.15,0.10,13.58,10.16,3.20,,
250714_BOEM_PIN_4,PIN102,C5,0.81,0.35,43.64,-18.74,0.11,13.58,11.85,3.21,,
250714_BOEM_PIN_4,PIN103,C6,0.74,0.32,43.57,-18.61,0.10,13.62,9.33,3.20,,
250714_BOEM_PIN_4,PIN104,C9,0.78,0.34,43.72,-18.14,0.11,13.69,10.70,3.19,,
250714_BOEM_PIN_4,PIN105,C10,0.80,0.35,43.48,-17.92,0.11,13.59,12.46,3.20,,
250714_BOEM_PIN_4,PIN106,C11,0.75,0.33,44.48,-18.15,0.10,13.73,10.11,3.24,,
250714_BOEM_PIN_4,PIN107,C12,0.72,0.32,43.90,-18.37,0.10,13.63,9.66,3.22,,
250714_BOEM_PIN_4,PIN108,D1,0.72,0.32,43.65,-18.10,0.10,13.66,9.64,3.19,,
250714_BOEM_PIN_4,PIN109,D5,0.73,0.32,43.51,-17.80,0.10,13.69,10.48,3.18,,
250714_BOEM_PIN_4,PIN110,D6,0.73,0.33,44.59,-18.80,0.10,13.76,10.32,3.24,,
250714_BOEM_PIN_4,PIN111,D7,0.73,0.32,43.81,-18.11,0.10,13.76,11.16,3.18,,
250714_BOEM_PIN_4,PIN112,D8,0.72,0.31,43.17,-19.04,0.10,13.55,10.75,3.19,,
250714_BOEM_PIN_4,PIN113,D9,0.76,0.33,43.84,-17.91,0.10,13.63,11.56,3.22,Y,
250715_BOEM_STA_2,STA036,A9,0.74,0.32,43.58,-18.39,0.10,13.88,11.46,3.14,Y,
250715_BOEM_STA_2,STA037,A11,0.65,0.28,42.89,-18.02,0.09,13.36,10.87,3.21,,
250715_BOEM_STA_2,STA038,A12,0.73,0.33,44.44,-18.71,0.10,14.14,11.47,3.14,,
250715_BOEM_STA_2,STA039,B1,0.75,0.33,44.18,-18.96,0.11,13.96,10.24,3.17,,
250715_BOEM_STA_2,STA040,B2,0.72,0.31,42.74,-18.01,0.10,13.28,12.46,3.22,,
250715_BOEM_STA_2,STA041,B5,0.76,0.34,44.68,-17.73,0.11,13.90,11.60,3.21,,
250715_BOEM_STA_2,STA042,B6,0.70,0.29,41.31,-19.49,0.09,12.22,9.65,3.38,,
250715_BOEM_STA_2,STA043,B7,0.65,0.28,42.66,-19.68,0.09,13.46,12.53,3.17,,
250715_BOEM_STA_2,STA044,B8,0.74,0.33,44.38,-18.63,0.10,14.05,13.33,3.16,,
250715_BOEM_STA_2,STA045,B9,0.68,0.30,44.14,-19.93,0.09,13.77,12.31,3.21,,
250715_BOEM_STA_2,STA046,C1,0.65,0.29,44.74,-19.85,0.09,13.93,12.58,3.21,,
250715_BOEM_STA_2,STA047,C2,0.68,0.30,44.43,-20.00,0.09,13.57,13.16,3.27,,
250715_BOEM_STA_2,STA048,C3,0.63,0.28,44.23,-19.54,0.09,13.73,13.32,3.22,,
250715_BOEM_STA_2,STA049,C4,0.76,0.34,44.86,-20.06,0.11,13.86,12.45,3.24,,
250715_BOEM_STA_2,STA050,C5,0.70,0.32,45.39,-20.06,0.09,13.62,12.62,3.33,,
250715_BOEM_STA_2,STA051,C6,0.76,0.33,44.36,-19.72,0.10,13.71,13.18,3.23,,
250715_BOEM_STA_2,STA052,C9,0.74,0.33,44.59,-19.76,0.10,13.91,13.24,3.21,,
250715_BOEM_STA_2,STA053,C10,0.64,0.28,44.01,-19.81,0.09,13.92,13.23,3.16,,
250715_BOEM_STA_2,STA054,C11,0.77,0.34,44.34,-19.30,0.11,14.00,12.96,3.17,,
250715_BOEM_STA_2,STA055,C12,0.73,0.32,43.98,-19.80,0.10,13.82,13.82,3.18,,
250715_BOEM_STA_2,STA056,D1,0.70,0.31,43.79,-20.38,0.10,13.72,16.12,3.19,,
250715_BOEM_STA_2,STA057,D5,0.64,0.28,44.00,-19.74,0.09,13.95,14.26,3.15,,
250715_BOEM_STA_2,STA058,D6,0.67,0.29,43.19,-19.37,0.09,13.66,14.66,3.16,,
250715_BOEM_STA_2,STA059,D7,0.67,0.29,43.62,-19.79,0.09,13.85,12.28,3.15,,
250715_BOEM_STA_2,STA060,D8,0.69,0.30,43.24,-19.93,0.09,13.61,12.02,3.18,,
250715_BOEM_STA_2,STA061,D9,0.69,0.30,43.87,-19.92,0.10,13.89,14.24,3.16,Y,
250716_BOEM_STA_1,STA010,A9,0.68,0.30,43.74,-18.68,0.09,13.55,11.90,3.23,Y,
250716_BOEM_STA_1,STA011,A11,0.75,0.33,43.60,-19.49,0.10,13.52,10.47,3.23,,
250716_BOEM_STA_1,STA012,A12,0.75,0.33,44.15,-18.70,0.10,13.57,11.33,3.25,,
250716_BOEM_STA_1,STA013,B1,0.79,0.34,43.47,-18.83,0.11,13.44,10.02,3.23,,
250716_BOEM_STA_1,STA014,B2,0.63,0.28,44.10,-18.76,0.09,13.65,11.00,3.23,,
250716_BOEM_STA_1,STA015,B5,0.69,0.30,43.21,-18.59,0.09,13.37,10.00,3.23,,
250716_BOEM_STA_1,STA016,B6,0.70,0.31,43.75,-18.51,0.09,13.55,11.41,3.23,,
250716_BOEM_STA_1,STA017,B7,0.65,0.29,43.67,-18.36,0.09,13.44,11.74,3.25,,
250716_BOEM_STA_1,STA018,B8,0.75,0.32,43.54,-18.43,0.10,13.49,9.90,3.23,,
250716_BOEM_STA_1,STA019,B9,0.67,0.29,43.43,-18.52,0.09,13.39,10.13,3.24,,
250716_BOEM_STA_1,STA020,C1,0.78,0.33,42.43,-18.44,0.10,13.10,11.42,3.24,,
250716_BOEM_STA_1,STA021,C2,0.75,0.33,43.68,-18.76,0.10,13.43,9.93,3.25,,
250716_BOEM_STA_1,STA022,C3,0.80,0.35,44.29,-18.52,0.11,13.73,10.70,3.23,,
250716_BOEM_STA_1,STA023,C4,0.79,0.35,44.97,-18.50,0.11,14.05,10.83,3.20,,
250716_BOEM_STA_1,STA024,C5,0.70,0.31,44.48,-18.19,0.10,13.87,11.37,3.21,,
250716_BOEM_STA_1,STA025,C6,0.74,0.33,44.71,-18.47,0.10,13.93,11.67,3.21,,
250716_BOEM_STA_1,STA026,C9,0.72,0.31,43.85,-18.53,0.10,13.72,11.62,3.20,,
250716_BOEM_STA_1,STA027,C10,0.67,0.30,44.90,-18.57,0.10,14.12,11.58,3.18,,
250716_BOEM_STA_1,STA028,C11,0.77,0.34,44.33,-18.67,0.11,13.78,11.01,3.22,,
250716_BOEM_STA_1,STA029,C12,0.70,0.31,44.18,-18.22,0.10,13.85,11.56,3.19,,
250716_BOEM_STA_1,STA030,D1,0.64,0.29,44.87,-18.48,0.09,14.03,11.81,3.20,,
250716_BOEM_STA_1,STA031,D5,0.74,0.33,44.44,-19.09,0.10,13.95,12.20,3.19,,
250716_BOEM_STA_1,STA032,D6,0.79,0.35,44.84,-18.60,0.11,14.10,10.96,3.18,,
250716_BOEM_STA_1,STA033,D7,0.66,0.29,44.55,-18.62,0.09,14.04,11.26,3.17,,
250716_BOEM_STA_1,STA034,D8,0.76,0.34,44.37,-18.32,0.11,13.88,10.95,3.20,,
250716_BOEM_STA_1,STA035,D9,0.75,0.33,44.61,-18.48,0.10,13.70,11.09,3.26,Y,
250717_BOEM_CRO_7,CRO166,A9,0.67,0.30,45.65,-19.96,0.09,14.22,13.13,3.21,Y,
250717_BOEM_CRO_7,CRO167,A11,0.77,0.36,46.19,-18.94,0.11,14.43,11.23,3.20,,
250717_BOEM_CRO_7,CRO168,A12,0.70,0.33,46.75,-20.57,0.10,14.80,13.13,3.16,,
250717_BOEM_CRO_7,CRO169,B1,0.75,0.34,45.46,-18.05,0.11,14.53,13.75,3.13,,
250717_BOEM_CRO_7,CRO170,B2,0.70,0.32,45.92,-18.49,0.10,14.67,12.84,3.13,,
250717_BOEM_CRO_7,CRO171,B5,0.74,0.34,46.43,-20.21,0.11,14.88,13.23,3.12,,
250717_BOEM_CRO_7,CRO172,B6,0.71,0.32,45.92,-22.51,0.10,14.61,14.16,3.14,,
250717_BOEM_CRO_7,CRO173,B7,0.64,0.29,45.87,-20.76,0.09,14.68,12.78,3.12,,
250717_BOEM_CRO_7,CRO174,B8,0.70,0.32,45.81,-20.04,0.10,14.64,13.24,3.13,,
250717_BOEM_CRO_7,CRO175,B9,0.73,0.34,46.40,-17.17,0.11,14.77,12.08,3.14,,
250717_BOEM_CRO_7,CRO176,C1,0.66,0.30,45.72,-19.95,0.10,14.46,12.76,3.16,,
250717_BOEM_CRO_7,CRO177,C2,0.75,0.33,44.25,-19.05,0.11,14.06,13.11,3.15,,
250717_BOEM_CRO_7,CRO178,C3,0.75,0.34,44.79,-18.41,0.11,14.24,12.27,3.15,,
250717_BOEM_CRO_7,CRO179,C4,0.74,0.33,44.32,-18.54,0.11,14.22,11.90,3.12,,
250717_BOEM_CRO_7,CRO180,C5,0.72,0.32,44.50,-19.57,0.10,14.14,11.97,3.15,,
250717_BOEM_CRO_7,CRO181,C6,0.78,0.35,45.04,-20.00,0.11,14.21,13.13,3.17,,
250717_BOEM_CRO_7,CRO182,C9,0.73,0.33,44.74,-20.38,0.11,14.32,14.19,3.12,,
250717_BOEM_CRO_7,CRO183,C10,0.64,0.29,45.06,-17.95,0.09,14.18,12.32,3.18,,
250717_BOEM_CRO_7,CRO184,C11,0.69,0.30,44.11,-19.47,0.10,14.06,12.28,3.14,,
250717_BOEM_CRO_7,CRO185,C12,0.73,0.33,44.45,-18.04,0.10,14.11,12.49,3.15,,
250717_BOEM_CRO_7,CRO186,D1,0.68,0.30,44.07,-19.19,0.10,14.07,11.92,3.13,,
250717_BOEM_CRO_7,CRO187,D5,0.77,0.34,44.05,-20.94,0.11,14.09,12.63,3.13,,
250717_BOEM_CRO_7,CRO188,D6,0.78,0.36,45.60,-19.02,0.11,14.35,11.37,3.18,,
250717_BOEM_CRO_7,CRO189,D7,0.78,0.35,44.66,-18.20,0.11,14.08,12.27,3.17,,
250717_BOEM_CRO_7,CRO190,D8,0.65,0.29,44.07,-19.18,0.09,14.01,14.73,3.14,,
250717_BOEM_CRO_7,CRO191,D9,0.78,0.36,45.88,-19.04,0.11,14.56,13.83,3.15,Y,
250817_BOEM_CRO_8,CRO192,A9,0.73,0.32,43.77,-18.22,0.10,13.85,12.67,3.16,Y,
250817_BOEM_CRO_8,CRO193,A10,0.69,0.31,44.42,-18.90,0.10,14.22,12.23,3.12,,
250817_BOEM_CRO_8,CRO194,A11,0.65,0.32,48.45,-20.03,0.10,15.48,15.66,3.13,,
250817_BOEM_CRO_8,CRO195,A12,0.73,0.31,42.76,-18.42,0.10,13.79,13.27,3.10,,
250817_BOEM_CRO_8,CRO196,B1,0.74,0.33,45.16,-19.49,0.11,14.44,14.46,3.13,,
250817_BOEM_CRO_8,CRO197,B2,0.67,0.30,45.15,-18.46,0.10,14.38,11.67,3.14,,
250817_BOEM_CRO_8,CRO198,B5,0.68,0.30,44.20,-19.94,0.10,14.26,12.43,3.10,,
250817_BOEM_CRO_8,CRO199,B6,0.68,0.31,45.06,-22.96,0.10,14.36,14.13,3.14,,
250817_BOEM_CRO_8,CRO200,B7,0.74,0.33,44.30,-23.12,0.11,14.25,11.50,3.11,,
250817_BOEM_CRO_8,CRO201,B8,0.72,0.32,44.74,-21.31,0.10,13.87,12.46,3.23,,
250817_BOEM_CRO_8,CRO202,B9,0.65,0.28,42.83,-23.64,0.09,13.86,10.95,3.09,,
250817_BOEM_CRO_8,CRO203,C1,0.79,0.34,43.75,-21.06,0.11,13.83,12.55,3.16,,
250817_BOEM_CRO_8,CRO204,C2,0.65,0.28,42.79,-20.28,0.09,13.52,12.17,3.16,,
250817_BOEM_CRO_8,CRO205,C3,0.76,0.34,44.63,-20.32,0.11,14.20,12.26,3.14,,
250817_BOEM_CRO_8,CRO206,C4,0.63,0.28,44.67,-20.31,0.09,14.16,13.11,3.15,,
250817_BOEM_CRO_8,CRO207,C5,0.66,0.29,44.02,-21.08,0.09,13.77,14.77,3.20,,
250817_BOEM_CRO_8,CRO208,C6,0.73,0.32,44.29,-19.23,0.10,13.98,12.69,3.17,,
250817_BOEM_CRO_8,CRO209,C9,0.65,0.28,43.74,-19.55,0.09,13.85,12.03,3.16,,
250817_BOEM_CRO_8,CRO210,C10,0.66,0.30,45.57,-20.12,0.09,14.42,12.47,3.16,,
250817_BOEM_CRO_8,CRO211,C11,0.60,0.27,45.70,-18.44,0.09,14.18,12.65,3.22,Y,